iter	Logloss
0	0.5646138727
1	0.4679093285
2	0.3990898492
3	0.3481339403
4	0.3093450685
5	0.2840914881
6	0.2636190578
7	0.2468788307
8	0.2343764339
9	0.2242575692
10	0.215024755
11	0.2088587091
12	0.2025503689
13	0.1962482822
14	0.1901667289
15	0.1863023399
16	0.1820393919
17	0.176800122
18	0.1747185679
19	0.1711415873
20	0.1678853266
21	0.1655778933
22	0.1640999154
23	0.1618504321
24	0.1600132275
25	0.1575688816
26	0.1550969854
27	0.1524116317
28	0.1508169608
29	0.1492931173
30	0.1476070332
31	0.1465592273
32	0.1448273648
33	0.144044513
34	0.1425709029
35	0.1411488656
36	0.1401343934
37	0.1389471878
38	0.1378045941
39	0.1367200191
40	0.1350846574
41	0.1332187938
42	0.1328102644
43	0.131225784
44	0.1298335549
45	0.1291917468
46	0.1288068021
47	0.1280551177
48	0.1270611826
49	0.126527022
50	0.125933274
51	0.1255571977
52	0.1243797467
53	0.1232521502
54	0.1229986774
55	0.1227698545
56	0.1222184021
57	0.1217597427
58	0.1215338973
59	0.1209536688
60	0.1205356905
61	0.119958482
62	0.1194131912
63	0.1191239038
64	0.1188414732
65	0.1186487933
66	0.1184709802
67	0.1182934656
68	0.1177606003
69	0.1174660914
70	0.1170926933
71	0.1169380748
72	0.1167331328
73	0.1165602565
74	0.1161111919
75	0.1159695467
76	0.1156739884
77	0.1155046907
78	0.115057046
79	0.1149339934
80	0.1146225517
81	0.11449018
82	0.114206842
83	0.1140616691
84	0.1139487377
85	0.1137348128
86	0.1136068576
87	0.1132780512
88	0.1131390826
89	0.113018926
90	0.1123776026
91	0.1120853603
92	0.1118403505
93	0.1115445877
94	0.1110244724
95	0.1108334786
96	0.1107277544
97	0.1103608588
98	0.1102642306
99	0.1099032701
100	0.1098063278
101	0.1096895019
102	0.109204423
103	0.109111844
104	0.1086290351
105	0.108519896
106	0.1084307944
107	0.1082734849
108	0.108187436
109	0.1078263457
110	0.1077356298
111	0.1076688619
112	0.1071981517
113	0.106981939
