iter	Passed	Remaining
0	64	64294
1	128	64189
2	181	60383
3	263	65514
4	314	62615
5	376	62325
6	440	62547
7	518	64266
8	571	62967
9	626	62007
10	704	63350
11	759	62547
12	837	63609
13	902	63528
14	967	63531
15	1028	63259
16	1097	63489
17	1183	64543
18	1242	64168
19	1308	64136
20	1383	64503
21	1436	63837
22	1487	63171
23	1563	63583
24	1628	63514
25	1676	62792
26	1732	62436
27	1800	62498
28	1855	62142
29	1930	62406
30	1978	61848
31	2048	61955
32	2105	61689
33	2193	62327
34	2260	62330
35	2339	62641
36	2396	62378
37	2477	62710
38	2560	63101
39	2626	63041
40	2709	63366
41	2767	63123
42	2833	63062
43	2919	63428
44	2987	63410
45	3072	63710
46	3151	63895
47	3217	63804
48	3292	63897
49	3383	64281
50	3455	64297
51	3557	64854
52	3627	64808
53	3693	64697
54	3768	64752
55	3845	64822
56	3921	64880
57	4015	65209
58	4090	65243
59	4181	65506
60	4255	65504
61	4331	65531
62	4418	65720
63	4485	65598
64	4564	65664
65	4658	65929
66	4731	65892
67	4815	65995
68	4916	66334
69	4987	66263
70	5075	66416
71	5155	66454
72	5237	66505
73	5341	66843
74	5434	67023
75	5518	67096
76	5614	67301
77	5688	67235
78	5907	68874
79	6002	69025
80	6083	69024
81	6177	69158
82	6246	69015
83	6321	68939
84	6390	68797
85	6457	68625
86	6657	69860
87	6743	69890
88	6817	69782
89	6915	69925
90	6989	69819
91	7062	69703
92	7169	69919
93	7235	69741
94	7314	69679
95	7390	69596
96	7474	69581
97	7591	69868
98	7659	69713
99	7762	69858
100	7859	69959
101	7937	69885
102	8018	69834
103	8081	69621
104	8156	69525
105	8251	69589
106	8334	69557
107	8431	69642
108	8498	69467
109	8581	69429
110	8679	69512
111	8937	70857
112	9023	70828
113	9137	71015
114	9231	71040
115	9321	71035
116	9412	71037
117	9489	70927
118	9569	70844
119	9646	70739
120	9720	70612
121	9809	70593
122	9895	70558
123	9978	70491
124	10055	70387
125	10124	70230
126	10208	70171
127	10282	70052
128	10342	69835
129	10411	69678
130	10485	69556
131	10542	69321
132	10617	69215
133	10695	69118
134	10764	68970
135	10838	68853
136	10921	68795
137	10985	68617
138	11054	68476
139	11144	68460
140	11205	68263
141	11281	68168
