iter	Passed	Remaining
0	62	62507
1	67	33522
2	71	23806
3	74	18562
4	77	15468
5	81	13512
6	84	11999
7	86	10778
8	90	9923
9	92	9178
10	96	8676
11	99	8231
12	103	7838
13	106	7518
14	109	7205
15	113	6951
16	116	6745
17	119	6513
18	122	6335
19	125	6147
20	128	6011
21	132	5909
22	136	5806
23	139	5686
24	143	5580
25	146	5469
26	148	5362
27	152	5280
28	154	5181
29	157	5088
30	160	5022
31	163	4953
32	166	4882
33	171	4858
34	173	4790
35	176	4719
36	178	4657
37	182	4618
38	186	4593
39	189	4551
40	194	4540
41	197	4499
42	201	4480
43	204	4433
44	206	4385
45	210	4373
46	213	4326
47	216	4285
48	219	4255
49	223	4248
50	227	4236
51	230	4202
52	235	4205
53	239	4192
54	242	4171
55	245	4141
56	249	4134
57	253	4112
58	256	4093
59	260	4079
60	263	4052
61	267	4042
62	271	4033
63	274	4016
64	277	3996
65	281	3985
66	285	3973
67	288	3958
68	291	3929
69	294	3911
70	298	3901
71	301	3892
72	304	3871
73	308	3854
74	311	3845
75	316	3841
76	319	3828
77	322	3809
78	326	3811
79	329	3793
80	333	3780
81	337	3774
82	340	3757
83	343	3742
84	345	3717
85	348	3704
86	352	3696
87	355	3683
88	358	3669
89	362	3665
90	367	3667
91	370	3660
92	373	3644
93	376	3632
94	380	3623
95	383	3615
96	388	3618
97	391	3606
98	394	3592
99	397	3581
100	401	3574
101	403	3556
102	406	3544
103	410	3533
104	413	3527
105	416	3511
106	419	3501
107	423	3494
108	425	3478
109	428	3469
110	431	3459
111	435	3449
112	438	3439
113	441	3435
114	444	3423
115	448	3414
116	452	3413
117	454	3398
118	457	3387
119	460	3379
120	463	3366
121	466	3353
122	469	3348
123	471	3332
124	475	3325
125	478	3319
126	481	3312
127	486	3314
128	489	3304
129	494	3306
130	497	3303
131	501	3297
132	504	3285
133	506	3276
134	511	3277
135	514	3271
136	517	3262
137	522	3260
138	525	3253
139	529	3250
140	532	3246
141	536	3244
142	540	3241
143	544	3237
144	547	3231
145	551	3227
146	554	3219
147	557	3209
148	560	3201
149	563	3193
150	566	3185
151	569	3179
152	574	3180
153	578	3177
154	582	3172
155	587	3176
156	590	3171
157	594	3169
158	598	3166
159	602	3163
160	605	3155
161	609	3152
162	613	3148
163	616	3142
164	620	3138
165	623	3134
166	628	3135
167	631	3129
168	635	3124
169	638	3118
170	641	3112
171	645	3106
172	648	3097
173	651	3091
174	654	3083
175	656	3073
176	660	3069
177	664	3066
178	667	3060
179	670	3052
180	673	3047
181	677	3044
182	680	3038
183	683	3030
184	686	3022
185	689	3018
186	692	3009
187	695	3004
188	698	2999
189	701	2991
190	705	2987
191	708	2983
192	712	2979
193	716	2975
194	719	2971
195	722	2963
196	725	2957
197	728	2951
198	731	2945
199	735	2941
200	739	2939
201	742	2931
202	745	2928
203	748	2920
204	752	2917
205	755	2912
206	759	2907
207	761	2901
208	765	2897
209	768	2892
210	772	2890
211	776	2884
212	779	2880
213	783	2878
214	786	2872
215	789	2865
216	792	2860
217	795	2854
218	799	2850
219	803	2848
220	806	2843
221	810	2839
222	815	2841
223	819	2838
224	823	2835
225	827	2833
226	831	2829
227	834	2826
228	838	2822
229	841	2817
230	844	2811
231	846	2802
232	849	2795
233	852	2791
234	855	2786
235	858	2779
236	861	2775
237	866	2773
238	869	2767
239	873	2766
240	877	2762
241	880	2757
242	883	2752
243	887	2748
244	889	2742
245	892	2736
246	896	2733
247	901	2732
248	904	2727
249	908	2724
250	910	2717
251	914	2715
252	918	2711
253	921	2706
254	924	2700
255	927	2696
256	930	2689
257	932	2683
258	935	2676
259	939	2672
260	944	2673
261	947	2668
262	951	2664
263	953	2657
264	956	2652
265	959	2647
266	962	2642
267	966	2641
268	970	2637
269	974	2634
270	978	2631
271	982	2628
272	985	2624
273	988	2618
274	991	2614
275	995	2610
276	998	2606
277	1001	2601
278	1005	2599
279	1008	2593
280	1013	2592
281	1016	2587
282	1019	2583
283	1023	2580
284	1026	2575
285	1030	2572
286	1032	2565
287	1036	2561
288	1039	2556
289	1042	2552
290	1046	2550
291	1050	2547
292	1053	2542
293	1057	2538
294	1059	2533
295	1063	2529
296	1067	2526
297	1070	2522
298	1074	2518
299	1077	2514
300	1080	2509
301	1083	2504
302	1086	2499
303	1089	2494
304	1092	2489
305	1096	2487
306	1099	2481
307	1103	2478
308	1105	2473
309	1109	2468
310	1112	2464
311	1115	2459
312	1118	2454
313	1121	2449
314	1124	2444
315	1126	2439
316	1129	2434
317	1132	2429
318	1135	2424
319	1138	2419
320	1141	2415
321	1144	2410
322	1147	2405
323	1150	2399
324	1152	2394
325	1155	2389
326	1158	2384
327	1161	2380
328	1165	2376
329	1168	2372
330	1171	2367
331	1175	2364
332	1177	2358
333	1180	2353
334	1183	2348
335	1185	2343
336	1188	2338
337	1191	2334
338	1194	2329
339	1198	2326
340	1201	2322
341	1206	2320
342	1209	2316
343	1211	2311
344	1213	2304
345	1217	2301
346	1221	2298
347	1225	2295
348	1228	2291
349	1232	2288
350	1234	2282
351	1237	2277
352	1240	2273
353	1243	2269
354	1246	2264
355	1249	2261
356	1253	2256
357	1256	2254
358	1260	2249
359	1265	2249
360	1268	2245
361	1272	2242
362	1275	2238
363	1280	2236
364	1283	2232
365	1286	2228
366	1290	2226
367	1294	2222
368	1298	2219
369	1301	2215
370	1305	2213
371	1308	2208
372	1311	2204
373	1315	2201
374	1319	2199
375	1322	2195
376	1326	2191
377	1329	2187
378	1334	2186
379	1337	2182
380	1340	2177
381	1343	2174
382	1347	2170
383	1350	2166
384	1353	2161
385	1356	2158
386	1360	2154
387	1362	2149
388	1365	2145
389	1368	2141
390	1371	2136
391	1375	2133
392	1378	2129
393	1383	2127
394	1386	2123
395	1389	2119
396	1393	2117
397	1396	2111
398	1399	2107
399	1402	2104
400	1406	2100
401	1410	2098
402	1413	2094
403	1417	2090
404	1420	2086
405	1423	2082
406	1426	2078
407	1429	2074
408	1433	2070
409	1436	2066
410	1438	2062
411	1443	2059
412	1446	2055
413	1449	2052
414	1453	2048
415	1456	2044
416	1459	2040
417	1462	2036
418	1465	2031
419	1468	2027
420	1471	2023
421	1474	2019
422	1477	2015
423	1480	2011
424	1483	2007
425	1487	2004
426	1490	2000
427	1493	1995
428	1497	1992
429	1501	1990
430	1504	1986
431	1509	1984
432	1512	1980
433	1516	1977
434	1519	1973
435	1522	1969
436	1525	1964
437	1527	1960
438	1532	1957
439	1535	1954
440	1538	1950
441	1541	1945
442	1544	1941
443	1546	1937
444	1549	1932
445	1552	1928
446	1556	1925
447	1559	1921
448	1562	1917
449	1566	1914
450	1569	1910
451	1574	1908
452	1577	1904
453	1580	1901
454	1583	1897
455	1588	1894
456	1591	1891
457	1595	1887
458	1599	1884
459	1602	1881
460	1605	1877
461	1610	1875
462	1613	1871
463	1616	1867
464	1621	1865
465	1625	1862
466	1628	1859
467	1632	1855
468	1635	1851
469	1638	1847
470	1642	1844
471	1645	1840
472	1648	1836
473	1652	1833
474	1655	1829
475	1658	1825
476	1661	1821
477	1663	1816
478	1666	1812
479	1669	1808
480	1672	1804
481	1676	1801
482	1679	1797
483	1682	1793
484	1685	1789
485	1688	1786
486	1691	1781
487	1695	1779
488	1698	1775
489	1702	1771
490	1705	1767
491	1708	1763
492	1711	1759
493	1713	1755
494	1716	1751
495	1719	1747
496	1722	1743
497	1725	1739
498	1729	1736
499	1732	1732
500	1736	1729
501	1740	1726
502	1743	1723
503	1748	1720
504	1752	1717
505	1756	1714
506	1759	1711
507	1763	1707
508	1767	1705
509	1771	1701
510	1775	1699
