Model,Training_accuracy,Test_accuracy,Precision,Recall,Specificity,F1 Score,Training MAE,Testing MAE,Training MSE,Test MSE,Training RMSE,Test RMSE,Training R Squared,Test R Squared
Decision Tree - Depth:1,0.9798966111430213,0.9770246984491672,0.9770246984491672,0.9770246984491672,0.9770246984491672,0.9770246984491672,0.020103388856978748,0.022975301550832855,0.020103388856978748,0.022975301550832855,0.14178641986092586,0.1515760586333899,-0.020515826494724276,-0.023515579071134773
Random Forest - Depth:1,0.9798966111430213,0.9770246984491672,0.9770246984491672,0.9770246984491672,0.9770246984491672,0.9770246984491672,0.020103388856978748,0.022975301550832855,0.020103388856978748,0.022975301550832855,0.14178641986092586,0.1515760586333899,-0.020515826494724276,-0.023515579071134773
XG Boost - Depth:1,0.9798966111430213,0.9770246984491672,0.9770246984491672,0.9770246984491672,0.9770246984491672,0.9770246984491672,0.020103388856978748,0.022975301550832855,0.020103388856978748,0.022975301550832855,0.14178641986092586,0.1515760586333899,-0.020515826494724276,-0.023515579071134773
Decision Tree - Depth:2,0.9798966111430213,0.9770246984491672,0.9770246984491672,0.9770246984491672,0.9770246984491672,0.9770246984491672,0.020103388856978748,0.022975301550832855,0.020103388856978748,0.022975301550832855,0.14178641986092586,0.1515760586333899,-0.020515826494724276,-0.023515579071134773
Random Forest - Depth:2,0.9798966111430213,0.9770246984491672,0.9770246984491672,0.9770246984491672,0.9770246984491672,0.9770246984491672,0.020103388856978748,0.022975301550832855,0.020103388856978748,0.022975301550832855,0.14178641986092586,0.1515760586333899,-0.020515826494724276,-0.023515579071134773
XG Boost - Depth:2,0.9798966111430213,0.9770246984491672,0.9770246984491672,0.9770246984491672,0.9770246984491672,0.9770246984491672,0.020103388856978748,0.022975301550832855,0.020103388856978748,0.022975301550832855,0.14178641986092586,0.1515760586333899,-0.020515826494724276,-0.023515579071134773
Decision Tree - Depth:3,0.9798966111430213,0.9770246984491672,0.9770246984491672,0.9770246984491672,0.9770246984491672,0.9770246984491672,0.020103388856978748,0.022975301550832855,0.020103388856978748,0.022975301550832855,0.14178641986092586,0.1515760586333899,-0.020515826494724276,-0.023515579071134773
Random Forest - Depth:3,0.9798966111430213,0.9770246984491672,0.9770246984491672,0.9770246984491672,0.9770246984491672,0.9770246984491672,0.020103388856978748,0.022975301550832855,0.020103388856978748,0.022975301550832855,0.14178641986092586,0.1515760586333899,-0.020515826494724276,-0.023515579071134773
XG Boost - Depth:3,0.9798966111430213,0.9770246984491672,0.9770246984491672,0.9770246984491672,0.9770246984491672,0.9770246984491672,0.020103388856978748,0.022975301550832855,0.020103388856978748,0.022975301550832855,0.14178641986092586,0.1515760586333899,-0.020515826494724276,-0.023515579071134773
Decision Tree - Depth:4,0.9798966111430213,0.9770246984491672,0.9770246984491672,0.9770246984491672,0.9770246984491672,0.9770246984491672,0.020103388856978748,0.022975301550832855,0.020103388856978748,0.022975301550832855,0.14178641986092586,0.1515760586333899,-0.020515826494724276,-0.023515579071134773
Random Forest - Depth:4,0.9798966111430213,0.9770246984491672,0.9770246984491672,0.9770246984491672,0.9770246984491672,0.9770246984491672,0.020103388856978748,0.022975301550832855,0.020103388856978748,0.022975301550832855,0.14178641986092586,0.1515760586333899,-0.020515826494724276,-0.023515579071134773
